TS1,TS2,TS3,TS4,TS5
0.0170536,-0.0245132,0.0001668,-0.0073787,0.0184216
-0.0249632,0.0062283,-0.0089035,-0.0003437,0.0090851
0.0069973,0.0270841,-0.0063726,-0.0022258,0.0061182
-0.0167498,0.0150805,0.0011664,0.0112826,-0.0066028
0.0037445,-0.0374489,0.0120062,0.0022153,0.0024207
-0.0036668,-0.0009751,-0.0065991,0.0020805,-0.0151038
0.0121606,-0.0302100,-0.0002383,-0.0053472,0.0296652
-0.0050770,0.0404615,-0.0136967,0.0018628,-0.0073342
-0.0061762,0.0500179,-0.0032933,0.0025458,-0.0048123
0.0080171,-0.0168854,0.0196546,0.0063363,-0.0090455
-0.0097452,0.0067181,0.0041222,0.0024016,0.0034016
0.0091619,-0.0546983,0.0141793,0.0022816,-0.0086074
-0.0145216,0.0390888,-0.0133960,0.0010282,0.0076367
-0.0059901,0.0321973,0.0004525,-0.0004997,-0.0001619
0.0224231,0.0015744,0.0113918,0.0016481,0.0080620
-0.0053350,-0.0046081,0.0103186,0.0023354,0.0036868
-0.0019363,-0.0009359,0.0037207,-0.0036622,0.0158733
0.0011604,-0.0424998,0.0085878,-0.0136912,0.0031447
-0.0094987,0.0324072,-0.0106700,0.0034819,-0.0020429
-0.0022186,0.0592947,-0.0039843,0.0091595,-0.0064705
-0.0065173,-0.0226636,0.0190357,0.0008214,0.0192872
-0.0103737,-0.0483822,0.0132547,-0.0028027,-0.0042020
-0.0093769,0.0198908,-0.0111014,0.0088459,0.0000000
-0.0002877,0.0022820,0.0003300,0.0039945,-0.0048464
0.0128801,0.0208109,-0.0029722,-0.0013156,-0.0177080
-0.0052300,-0.0155237,0.0088864,-0.0039785,0.0006379
0.0039240,0.0081903,-0.0029063,0.0018104,-0.0108993
0.0088656,-0.0433463,0.0080618,0.0022672,0.0083454
0.0010258,0.0204259,-0.0137460,-0.0010479,-0.0007994
-0.0004545,-0.0158787,0.0002693,0.0011682,-0.0006400
0.0047341,0.0159446,-0.0076046,0.0086519,-0.0057785
-0.0032166,0.0024418,-0.0001311,0.0011218,-0.0181941
0.0061688,0.0019617,0.0009976,-0.0032356,0.0006555
-0.0005935,-0.0031022,0.0001846,0.0021559,0.0123740
-0.0156166,-0.0191061,0.0035877,-0.0014180,-0.0029169
-0.0009048,0.0419073,-0.0099085,-0.0036807,-0.0039024
-0.0261226,-0.0053310,0.0078864,-0.0053304,0.0043892
0.0042379,-0.0095767,0.0063176,0.0043428,0.0053385
-0.0052122,0.0173638,-0.0021934,0.0069908,0.0038647
-0.0123685,-0.0182432,0.0074453,-0.0014799,0.0108697
0.0050424,0.0029944,-0.0019137,-0.0045234,0.0049164
-0.0096143,-0.0063636,0.0004748,-0.0011993,-0.0148222
